,sbb_stop_to_stop_lausanne_region.stop_id_a,sbb_stop_to_stop_lausanne_region.stop_id_b,sbb_stop_to_stop_lausanne_region.distance
2649,8501181:0:2,8501160:0:1,424.9779
2650,8501181:0:2,8501160,424.9779
2651,8501181:0:2,8501120:0:4,455.43802
2652,8501181:0:2,8501120:0:7,455.43802
2653,8504165,8511214,492.03915
2654,8504165,8511210,480.689
2655,8518452:0:4,8501208,497.29803
2656,8518452:0:4,8592049,191.76935
2657,8518452:0:4,8593844,444.67075
2658,8518452:0:4,8518452:0:3,7.332411
2659,8518452:0:4,8518452:0:1,24.073069
2660,8518452:0:4,8510543,287.2101
2661,8518452:0:4,Parent8518452,110.01182
2662,8518452:0:4,8592103,231.15825
2663,8518452:0:4,8592105,298.15613
2664,8518452:0:4,8501209,270.92566
2665,8518452:0:4,8518452:0:2,16.758732
2666,8518452:0:4,8592179,472.81833
2667,8588157,8510528,216.07535
2668,8588157,8592226,395.03568
2669,8588157,8595223,489.6181
2670,8588157,8588158,376.9877
2671,8588157,8510527,238.48691
2672,8591950,8596053,397.21518
2673,8591950,8595937,283.6559
2674,8591950,8501211,455.98886
2675,8591956,8591952,338.21964
2676,8591956,8594890,438.71326
2677,8591956,8591954,497.42685
2678,8591956,8591947,462.74164
2679,8591956,8591949,258.52844
2680,8591968,8587546,379.16177
2681,8591968,8504171,298.55142
2682,8591968,8587549,449.74323
2683,8591993,Parent8501162,280.13507
2684,8591993,8501162,280.13507
2685,8591993,8592056,474.941
2686,8591993,8592124,383.78815
2687,8591993,8592094,244.16428
2688,8591993,8592107,239.10426
2689,8591993,8501162:0:2,280.13507
2690,8591993,8501162:0:1,280.13507
2691,8591993,8592187,486.3448
2692,8591993,8591998,482.2344
2693,8591993,8592087,223.4276
2694,8591993,8592181,417.14526
2695,8591993,8592057,447.2172
2696,8592052,8501120:0:8,208.01761
2697,8592052,8501120:0:3,208.01761
2698,8592052,Parent8501120,208.01761
2699,8592052,8592040,273.17627
2700,8592052,8501120:0:5,208.01761
2701,8592052,8592050:0:F,354.6935
2702,8592052,8592050:0:H,303.24695
2703,8592052,8501120:0:70,208.01761
2704,8592052,8592027,265.47012
2705,8592052,8501120:0:6,208.01761
2706,8592052,8592028,329.42288
2707,8592052,8592050:0:C,303.24695
2708,8592052,8592050,303.24695
2709,8592052,8592020,327.41473
2710,8592052,8592026,326.42532
2711,8592052,8592024,352.82913
2712,8592052,8592050:0:D,303.24695
2713,8592052,8501120,208.01761
2714,8592052,8592079,228.6273
2715,8592052,Parent8592050,303.24695
2716,8592052,8501120:0:1,208.01761
2717,8592052,8501120:0:4,208.01761
2718,8592052,8501120:0:7,208.01761
2719,8592127,8579245,409.12683
2720,8592127,8592118,491.8672
2721,8592213,8501118:0:5,430.5245
2722,8592213,8592209,455.94513
2723,8592213,8501118:0:3,437.2132
2724,8592213,8501118:0:4,433.607
2725,8592213,8592202,365.1088
2726,8592213,8592205,425.22147
2727,8592213,8501118:0:1,443.5296
2728,8592213,8501118:0:2,439.0664
2729,8592213,8592221,184.68214
2730,8592213,8592218,481.64874
2731,8592213,8592220,473.69873
2732,8595215:0:1,8595215:0:2,0.0
2733,8595215:0:1,8595217,263.42966
2734,8595215:0:1,Parent8595215,0.0
2735,8595215:0:1,8595214,416.85446
2736,8595215:0:1,8595214:0:1,416.85446
2737,8595215:0:1,8595215,0.0
2738,8595215:0:1,Parent8595214,416.85446
2739,8595625,8593806,225.43234
2740,8595625,8588436,243.1445
2741,8595625,8595190,75.705154
2742,8595625,8593798,371.6355
2743,8595625,8579257,119.01085
2744,Parent8579239,8589525,425.3193
2745,Parent8579239,8579239:0:E,0.0
2746,Parent8579239,8592128,361.88663
2747,Parent8579239,8579239:0:B,23.502913
2748,Parent8579239,8591971,322.93192
2749,Parent8579239,8579239,0.0
2750,8501122:0:1,8593861,30.868025
2751,8501122:0:1,Parent8501122,49.31353
2752,8501122:0:1,8592164,291.72052
2753,8501122:0:1,8592155,482.1273
2754,8501122:0:1,8592162,455.04755
2755,8501122:0:1,8501122:0:2,7.33007
2756,8501122:0:1,8592160,297.33246
2757,8501122:0:1,8592154,251.39452
2758,8501162:0:1,Parent8501162,0.0
2759,8501162:0:1,8592173,327.7927
2760,8501162:0:1,8501162,0.0
2761,8501162:0:1,8592124,359.65018
2762,8501162:0:1,8592107,271.74353
2763,8501162:0:1,8501162:0:2,0.0
2764,8501162:0:1,8591993,280.13507
2765,8501162:0:1,8592187,444.49194
2766,8501162:0:1,8592087,455.72186
2767,8501162:0:1,8592181,197.33751
2768,8501207,8501208,409.0584
2769,8501207,8593844,479.3095
2770,8501207,8592106,406.7897
2771,8501207,8592021,276.11813
2772,8501207,8591990,292.75992
2773,8501207,8592022,369.85706
2774,8501207,8592036,383.71558
2775,8501207,8592097,466.12164
2776,8504177,8592141,369.84952
2777,8504177,8579235,467.47833
2778,8570164,8573634,415.40988
2779,8570164,8507540,213.09071
2780,8579235,8593845,294.70615
2781,8579235,8504177,467.47833
2782,8579256,8588434,368.2167
2783,8579256,8588450,312.53497
